,name,value
286,fun,0.9530277
287,goal,0.94500434
288,sport,0.9206387
289,child,0.9188515
290,exercise,0.9069776
291,stadium,0.9044529
292,gameplan (sports),0.9006758
293,soccer,0.998876
294,ball,0.99532604
295,football,0.9947225
296,competition,0.9912225
297,stadium,0.98527265
298,soccer player,0.98164046
299,game,0.97943425
300,match,0.97473615
301,soccer ball,0.97363997
302,goal,0.95110905
303,soccer field,0.943149
304,athlete,0.9423952
305,gameplan (sports),0.93601596
306,grass,0.92677546
307,sport,0.92240673
308,field,0.9141276
309,uniform,0.9069122
310,rugby,0.9056916
311,fun,0.9026312
312,player,0.900721
313,soccer,0.9991163
314,ball,0.9939162
315,competition,0.99119747
316,football,0.98731923
317,match,0.9816071
318,soccer player,0.97771287
319,stadium,0.9752857
320,athlete,0.9705703
321,game,0.9671507
322,soccer ball,0.9417388
323,sports equipment,0.92085147
324,goal,0.91948664
325,soccer field,0.9185149
326,man,0.9099984
327,sport,0.9089776
328,uniform,0.90509677
329,soccer,0.99975723
330,ball,0.9936853
331,competition,0.99327886
332,game,0.9887864
333,match,0.988096
334,football,0.9864415
335,fun,0.97106326
336,soccer player,0.960451
337,stadium,0.9541563
338,people,0.9219353
339,sports equipment,0.9192921
340,action energy,0.91844547
341,athlete,0.91511804
342,soccer ball,0.91211903
343,goal,0.9012283
344,soccer,0.9987788
345,ball,0.9959775
346,competition,0.99368906
347,football,0.98619264
348,soccer player,0.9779849
349,game,0.9762659
350,stadium,0.9750481
351,soccer ball,0.9696536
352,athlete,0.95717347
353,match,0.9495591
354,fun,0.947365
355,web,0.9288877
356,sports equipment,0.9264934
357,uniform,0.922428
358,sport,0.91879165
359,action energy,0.9140898
360,soccer field,0.90461403
361,soccer,0.9987503
362,football,0.9947785
363,competition,0.99122256
364,ball,0.98680365
365,stadium,0.97286844
366,match,0.96168095
367,soccer player,0.9589484
368,soccer ball,0.95379025
369,game,0.9508785
370,athlete,0.94515955
371,sports equipment,0.9295118
372,man,0.92395234
373,soccer,0.99897206
374,competition,0.99599767
375,ball,0.9930096
376,match,0.9909894
377,football,0.98608816
378,stadium,0.98191506
379,game,0.97909254
380,athlete,0.97651786
381,soccer player,0.9737664
382,sport,0.94518316
383,goal,0.94309384
384,sports equipment,0.93847805
385,action energy,0.93613553
386,soccer ball,0.92975444
387,soccer field,0.92170537
388,fun,0.9152262
389,championship,0.91325855
390,people,0.90825665
391,wear,0.9077405
392,competition,0.9878037
393,exercise,0.9802673
394,action energy,0.9792803
395,athlete,0.97068715
396,ball,0.96925336
397,sport,0.9682395
398,game,0.96087784
399,motion,0.952268
400,soccer,0.9495323
401,man,0.9492229
402,people,0.9462404
403,fun,0.9459454
404,recreation,0.94136333
405,active,0.93964446
406,adult,0.93924814
407,action,0.9356278
408,fitness,0.9310786
409,leisure,0.9170816
410,one,0.9112223
411,child,0.9062027
412,soccer,0.9997344
413,ball,0.99591005
414,competition,0.99264693
415,football,0.98884535
416,game,0.9868902
417,match,0.9807303
418,soccer player,0.98038495
419,goal,0.9702698
420,stadium,0.96442133
421,sport,0.96119034
422,soccer ball,0.95601636
423,action energy,0.95401263
424,fun,0.9493529
425,man,0.92691535
426,athlete,0.91665983
427,goalkeeper,0.91229945
428,gameplan (sports),0.90843666
429,foot,0.9080237
430,soccer,0.99981594
431,ball,0.9979223
432,football,0.99471676
433,competition,0.9940702
434,match,0.9923235
435,game,0.9914845
436,stadium,0.98420095
437,soccer player,0.98213863
438,goal,0.9820415
439,soccer ball,0.97097063
440,man,0.95449007
441,sports fan,0.93957466
442,fun,0.935965
443,goalkeeper,0.9333333
444,athlete,0.93307424
445,league,0.92918926
446,championship,0.92791903
447,action energy,0.9236185
448,soccer field,0.92343754
449,cup,0.9183072
450,soccer,0.9904706
451,ball,0.9536394
452,competition,0.94104016
453,game,0.9169121
454,football,0.9090901
455,soccer,0.9994534
456,competition,0.9935406
457,ball,0.99108994
458,game,0.975991
459,match,0.9713927
460,football,0.9699186
461,soccer player,0.9649229
462,sports equipment,0.9517514
463,people,0.94681793
464,fun,0.9455128
465,soccer ball,0.93772185
466,wear,0.9345815
467,stadium,0.93335074
468,athlete,0.9322015
469,man,0.90787697
470,soccer,0.9988934
471,competition,0.9839377
472,football,0.9770863
473,match,0.9687185
474,ball,0.96560323
475,man,0.96086526
476,people,0.95359004
477,game,0.95108795
478,sport,0.950477
479,athlete,0.92585707
480,action energy,0.92099106
481,stadium,0.91923046
482,fun,0.90501106
483,hurry,0.90453583
484,soccer,0.9996934
485,football,0.9914688
486,ball,0.9908987
487,competition,0.9891292
488,match,0.98729897
489,game,0.98192835
490,stadium,0.97775304
491,goal,0.97238326
492,action energy,0.9627792
493,people,0.95516086
494,man,0.95360225
495,sport,0.9459057
496,goalkeeper,0.9449323
497,championship,0.9247283
498,fun,0.9229014
499,soccer player,0.9212794
500,squad,0.91685796
501,league,0.9140863
502,hurry,0.9128258
503,athlete,0.9097407
504,soccer,0.9994309
505,competition,0.9902967
506,ball,0.9885221
507,match,0.9823501
508,football,0.97846925
509,game,0.977824
510,man,0.9580277
511,sport,0.9525792
512,people,0.93291515
513,fun,0.9284656
514,action energy,0.9271209
515,athlete,0.9233116
516,soccer player,0.9178703
517,goal,0.9040534
518,soccer,0.99861336
519,competition,0.98764
520,man,0.98531556
521,ball,0.96874344
522,football,0.968506
523,people,0.96181136
524,sport,0.96068466
525,match,0.95403373
526,athlete,0.9275115
527,stadium,0.9240097
528,adult,0.9186148
529,soccer,0.9988379
530,competition,0.99073815
531,ball,0.9885086
532,match,0.9807743
533,football,0.98053074
534,soccer player,0.9724533
535,stadium,0.96483874
536,game,0.9579741
537,soccer ball,0.95508087
538,athlete,0.94803214
539,soccer field,0.9243159
540,action,0.92370176
541,sports equipment,0.91753113
542,soccer,0.9987309
543,match,0.984005
544,ball,0.9839266
545,game,0.98321664
546,competition,0.98179543
547,football,0.97987795
548,people,0.9475982
549,fun,0.9456054
550,man,0.9429225
551,stadium,0.9344727
552,sport,0.9319557
553,wear,0.9162281
554,hurry,0.9021475
555,competition,0.9889362
556,game,0.98360765
557,child,0.9832753
558,ball,0.97382545
559,fun,0.96989095
560,sport,0.95913756
561,exercise,0.9560425
562,active,0.95110977
563,athlete,0.9506167
564,action energy,0.9490086
565,motion,0.9485294
566,people,0.94321156
567,recreation,0.92677844
568,boy,0.9200062
569,leisure,0.90297806
570,soccer,0.9992841
571,ball,0.9949094
572,football,0.9908115
573,competition,0.99019885
574,game,0.9868097
575,match,0.98047185
576,stadium,0.975193
577,sport,0.9746485
578,goal,0.9651406
579,soccer player,0.94732714
580,athlete,0.93711615
581,soccer ball,0.9365792
582,fun,0.92880356
583,web,0.91121995
584,action energy,0.9094994
585,people,0.90711534
586,man,0.90508056
587,gameplan (sports),0.9021773
588,soccer,0.9963546
589,competition,0.9822924
590,ball,0.9736384
591,man,0.97036415
592,football,0.9658978
593,people,0.9602597
594,wear,0.9530622
595,fun,0.9470077
596,game,0.93734145
597,match,0.9367325
598,athlete,0.9195228
599,action energy,0.9141555
600,adult,0.90053546
601,competition,0.9949845
602,football,0.9888785
603,athlete,0.9861007
604,ball,0.98107225
605,recreation,0.9804435
606,people,0.9797132
607,sport,0.9700264
608,rugby,0.9559759
609,runner,0.9528943
610,soccer,0.9526526
611,game,0.94767773
612,stadium,0.9457017
613,motion,0.9395975
614,squad,0.93730116
615,field,0.9365283
616,group together,0.9298483
617,man,0.92711675
618,adult,0.9179238
619,leisure,0.91117823
620,lifestyle,0.9058281
621,soccer,0.9990705
622,ball,0.9961352
623,game,0.99570364
624,competition,0.99484605
625,football,0.99399495
626,stadium,0.9934315
627,goal,0.9919275
628,match,0.9914043
629,athlete,0.9820831
630,people,0.98179495
631,squad,0.9727808
632,man,0.9727508
633,wear,0.9706608
634,gameplan (sports),0.96756995
635,championship,0.9604552
636,cup,0.95550203
637,sports fan,0.9525318
638,soccer player,0.9513016
639,uniform,0.9511984
640,goalkeeper,0.95112014
641,soccer,0.991761
642,competition,0.9887972
643,athlete,0.97236764
644,football,0.9568365
645,man,0.9479991
646,game,0.93426394
647,adult,0.931643
648,rugby,0.92569286
649,match,0.9176322
650,uniform,0.91201866
651,sports equipment,0.9016005
652,football,0.9949263
653,game,0.9920144
654,defence,0.9894262
655,rugby,0.98561674
656,quarterback,0.98411965
657,helmet,0.9840708
658,stadium,0.98049676
659,competition,0.9789894
660,sport,0.9668262
661,ball,0.96304095
662,uniform,0.962116
663,athlete,0.962018
664,action energy,0.95680654
665,squad,0.9518006
666,touchdown,0.94869375
667,protection,0.9485326
668,football player,0.941173
669,action,0.9372668
670,people,0.9346235
671,attack,0.93427145
672,woman,0.9775448
673,people,0.9709687
674,competition,0.9495561
675,adult,0.94526774
676,portrait,0.94503045
677,cheerleader,0.9418107
678,girl,0.9394562
679,outdoors,0.9388281
680,wear,0.92954373
681,stadium,0.9959434
682,competition,0.99515724
683,football,0.9889709
684,baseball,0.98866606
685,soccer,0.9848372
686,venue,0.9750968
687,track,0.9673944
688,bleachers,0.96099854
689,championship,0.9461385
690,race,0.939159
691,auto racing,0.91593647
692,vehicle,0.9103254
693,action,0.9082718
694,transportation system,0.9069203
695,competition,0.9982557
696,stadium,0.9964378
697,football,0.99174964
698,soccer,0.9883
699,baseball,0.9855708
700,venue,0.9842403
701,track,0.98212945
702,race,0.98148096
703,championship,0.97913766
704,auto racing,0.9696386
705,action,0.95742846
706,vehicle,0.95647025
707,bleachers,0.95321816
708,athlete,0.93115973
709,transportation system,0.92578846
710,grandstand,0.9142468
711,car,0.91066635
712,competition,0.99744815
713,stadium,0.9947047
714,football,0.984063
715,soccer,0.981575
716,championship,0.9715336
717,bleachers,0.95027435
718,baseball,0.94798636
719,action,0.94240916
720,track,0.93515337
721,no person,0.93059444
722,ball,0.92941
723,venue,0.92483354
724,race,0.91203654
725,game,0.9066006
726,athlete,0.90266013
727,competition,0.98821056
728,athlete,0.9669844
729,man,0.9640937
730,child,0.9534138
731,people,0.95153373
732,exercise,0.94937706
733,recreation,0.9374354
734,motion,0.93204075
735,sport,0.93013215
736,game,0.9301132
737,rugby,0.92697203
738,action energy,0.9241373
739,ball,0.9179293
740,adult,0.91056037
741,fun,0.9001287
742,competition,0.9972843
743,stadium,0.99587274
744,football,0.9920002
745,soccer,0.98741925
746,track,0.95684564
747,championship,0.9546194
748,race,0.9502281
749,venue,0.94969434
750,bleachers,0.94912106
751,no person,0.93809944
752,athlete,0.9126606
753,action,0.9063631
754,outdoors,0.903502
755,competition,0.9966785
756,game,0.98737097
757,athlete,0.9870022
758,ball,0.9832916
759,soccer,0.9795172
760,action energy,0.97171
761,man,0.9707557
762,people,0.9606732
763,exercise,0.9568907
764,sport,0.9474712
765,recreation,0.94699705
766,motion,0.94298434
767,football,0.9421341
768,goal,0.93834984
769,child,0.932727
770,rugby,0.92369545
771,fun,0.92042834
772,uniform,0.91874266
773,adult,0.90851307
774,stadium,0.906
775,people,0.98790216
776,child,0.9811652
777,boy,0.957919
778,man,0.95332515
779,adult,0.94480217
780,one,0.940454
781,portrait,0.9394982
782,outdoors,0.9360887
783,woman,0.9286097
784,education,0.9208814
785,recreation,0.9140825
786,two,0.90595984
787,school,0.9012988
788,street,0.900349
789,competition,0.9930674
790,sport,0.9883828
791,athlete,0.9868583
792,exercise,0.9804386
793,action energy,0.9735377
794,game,0.96157396
795,man,0.9593978
796,hurry,0.95407975
797,motion,0.95005345
798,fitness,0.9488783
799,people,0.9425502
800,goal,0.93258107
801,active,0.92408204
802,ball,0.9178301
803,runner,0.9176353
804,soccer,0.913301
805,competition,0.993364
806,ball,0.9872525
807,soccer,0.97664154
808,game,0.9749888
809,web,0.9639241
810,athlete,0.9619534
811,exercise,0.95408815
812,action energy,0.95261204
813,fun,0.9519733
814,sport,0.95157635
815,people,0.9492762
816,match,0.9459084
817,recreation,0.9405333
818,man,0.93897426
819,goal,0.9337703
820,adult,0.91408974
821,child,0.9099498
822,player,0.9085922
823,gameplan (sports),0.90511405
824,competition,0.9981799
825,stadium,0.9793742
826,game,0.97884524
827,ball,0.9774302
828,athlete,0.97720754
829,people,0.96424186
830,sports equipment,0.95028
831,motion,0.9370818
832,adult,0.93020535
833,man,0.92984486
834,action,0.9151398
835,tennis,0.90883875
836,competition,0.99702424
837,stadium,0.98894584
838,championship,0.9722785
839,football,0.9717657
840,soccer,0.9646759
841,action,0.9558652
842,race,0.9315444
843,track,0.93041116
844,no person,0.9299079
845,baseball,0.9152894
846,ball,0.9114493
847,auto racing,0.90618074
848,venue,0.9028059
849,competition,0.9966544
850,stadium,0.995646
851,football,0.9910675
852,soccer,0.9874066
853,championship,0.95555353
854,track,0.954774
855,venue,0.95184135
856,bleachers,0.94724226
857,race,0.9470385
858,no person,0.9429456
859,outdoors,0.9112092
860,grandstand,0.9055574
861,competition,0.9983296
862,stadium,0.9978238
863,football,0.9958799
864,soccer,0.99425316
865,bleachers,0.96827555
866,championship,0.96741116
867,track,0.9650179
868,no person,0.9585967
869,race,0.9579445
870,venue,0.954714
871,athlete,0.9356075
872,baseball,0.9254774
873,outdoors,0.92369974
874,grandstand,0.91714245
875,game,0.91371393
876,ball,0.9116794
877,action,0.9114181
878,sports fan,0.90168905
879,stadium,0.99974835
880,competition,0.9995096
881,game,0.99240524
882,football,0.9885552
883,audience,0.9847841
884,spectator,0.98451895
885,grandstand,0.9829918
886,bleachers,0.98274124
887,ball,0.9815185
888,soccer,0.98037815
889,sports fan,0.9782481
890,track,0.9720622
891,sport,0.9718822
892,action,0.9717135
893,championship,0.9703501
894,athlete,0.96376085
895,baseball,0.94796497
896,group together,0.9457755
897,many,0.9382618
898,venue,0.93668723
899,stadium,0.99920344
900,competition,0.997299
901,ball,0.98943806
902,game,0.98270154
903,athlete,0.98094845
904,baseball,0.9739347
905,many,0.96535707
906,tennis,0.95459026
907,sport,0.93018705
908,action,0.92809093
909,sports fan,0.9229815
910,sports equipment,0.9170572
911,soccer,0.91367847
912,football,0.908962
913,spectator,0.9080674
914,stadium,0.9984361
915,competition,0.9976001
916,ball,0.9895531
917,tennis,0.984583
918,athlete,0.9795361
919,game,0.9753055
920,baseball,0.96161366
921,many,0.9562501
922,action,0.9311184
923,tennis match,0.9294017
924,sports equipment,0.923391
925,sport,0.9183831
926,people,0.9037484
927,racket,0.90332615
928,competition,0.9997716
929,tennis,0.9971597
930,ball,0.99500895
931,racket,0.9949498
932,tennis ball,0.9939641
933,athlete,0.9939463
934,tennis match,0.993251
935,game,0.99073076
936,tennis player,0.9894244
937,stadium,0.98646
938,sports equipment,0.9844165
939,people,0.9838166
940,action,0.97483754
941,group together,0.97417605
942,tournament,0.963995
943,man,0.96129936
944,many,0.9434984
945,match,0.92084193
946,adult,0.9173088
947,competition,0.9985744
948,stadium,0.97568446
949,people,0.97559595
950,ball,0.97018504
951,motion,0.950793
952,athlete,0.9495275
953,man,0.94688666
954,game,0.9423887
955,action energy,0.92750704
956,wear,0.9229028
957,adult,0.9145526
958,action,0.91017073
