,name,value
286,hurry,0.939369
287,helmet,0.9368564
288,man,0.9250412
289,fitness,0.92202073
290,ride,0.92041993
291,biker,0.9162382
292,fast,0.9069224
293,action energy,0.903484
294,competition,0.9959698
295,wheel,0.9937644
296,bike,0.99335396
297,race,0.99290013
298,sport,0.99069405
299,cyclist,0.9840646
300,hurry,0.97669256
301,athlete,0.97387457
302,biker,0.96950483
303,helmet,0.96891284
304,ride,0.9589061
305,squad,0.9480753
306,active,0.94519895
307,fast,0.92791927
308,man,0.92499304
309,action energy,0.91888
310,racer,0.90677446
311,exercise,0.90240705
312,people,0.9000403
313,competition,0.99938023
314,wheel,0.99804866
315,bike,0.9975152
316,race,0.9972148
317,cyclist,0.9937265
318,sport,0.9821814
319,athlete,0.97779
320,biker,0.9770333
321,ride,0.97406965
322,hurry,0.9627478
323,action,0.95964706
324,recreation,0.95924395
325,seated,0.95148695
326,vehicle,0.9469391
327,fast,0.94211924
328,exercise,0.9401473
329,active,0.9390688
330,championship,0.92914844
331,man,0.92512536
332,competition,0.99840367
333,wheel,0.99828887
334,cyclist,0.99744177
335,bike,0.99383104
336,race,0.99338794
337,sport,0.9903908
338,adult,0.98195314
339,biker,0.97542524
340,athlete,0.9745697
341,seated,0.9725611
342,ride,0.9674672
343,hurry,0.9602946
344,motion,0.9337965
345,championship,0.9320544
346,exercise,0.9296011
347,action,0.9227135
348,man,0.9224466
349,athletics,0.9068214
350,racer,0.9053128
351,woman,0.9051989
352,flower,0.9930459
353,no person,0.9914864
354,nature,0.9902475
355,flora,0.9901793
356,garden,0.9744033
357,leaf,0.97305894
358,petal,0.9647896
359,outdoors,0.9567108
360,floral,0.95479834
361,blooming,0.9532721
362,summer,0.9477408
363,growth,0.94507515
364,season,0.9312873
365,color,0.93077874
366,bulb,0.93054974
367,lilac,0.9273063
368,closeup,0.92171484
369,Easter,0.91964996
370,wheel,0.99727684
371,cyclist,0.9968384
372,competition,0.99670774
373,bike,0.9945483
374,sport,0.9910443
375,race,0.98814064
376,exercise,0.9820906
377,biker,0.9805635
378,active,0.976832
379,athlete,0.969589
380,hurry,0.96708363
381,recreation,0.9645716
382,fitness,0.9626179
383,ride,0.9542117
384,fast,0.94942796
385,seated,0.9427269
386,bicycle,0.9364569
387,people,0.93573135
388,man,0.9264161
389,action energy,0.9219522
390,wheel,0.99762976
391,competition,0.997161
392,bike,0.99586755
393,sport,0.99467814
394,race,0.9946369
395,cyclist,0.9902009
396,biker,0.9742372
397,hurry,0.9738754
398,athlete,0.9648111
399,ride,0.96327084
400,championship,0.96168745
401,fast,0.94958526
402,seated,0.9489373
403,action,0.94799834
404,exercise,0.9475984
405,active,0.9435563
406,recreation,0.9333304
407,competition,0.99974346
408,bike,0.99972403
409,race,0.9996854
410,wheel,0.9995764
411,cyclist,0.9985683
412,biker,0.99649155
413,hurry,0.9961009
414,ride,0.9956901
415,sport,0.9947493
416,championship,0.99402934
417,action,0.988392
418,helmet,0.9863685
419,fast,0.9843413
420,racer,0.98206794
421,seated,0.98174775
422,track,0.97506845
423,athlete,0.96760654
424,motion,0.9633914
425,bicycle,0.9622425
426,vehicle,0.9552019
427,competition,0.9985414
428,race,0.9882544
429,sport,0.9771936
430,athlete,0.9761126
431,championship,0.96211743
432,exercise,0.9440256
433,action,0.94390833
434,recreation,0.9389421
435,active,0.9369062
436,fast,0.9363828
437,hurry,0.935449
438,man,0.9326291
439,action energy,0.92893934
440,people,0.9036217
441,competition,0.99866134
442,race,0.980325
443,wheel,0.97400916
444,athlete,0.9661367
445,man,0.95740247
446,action,0.9557189
447,sport,0.95341873
448,cyclist,0.9492916
449,hurry,0.9483459
450,ride,0.9345614
451,bike,0.9309179
452,people,0.9282445
453,championship,0.92284095
454,competition,0.9977815
455,wheel,0.9975426
456,bike,0.99614334
457,cyclist,0.9952563
458,race,0.9947108
459,biker,0.9871666
460,athlete,0.98137623
461,sport,0.97127664
462,ride,0.9707428
463,hurry,0.9671066
464,man,0.9498944
465,exercise,0.9424585
466,active,0.9420626
467,seated,0.9319794
468,fast,0.9313613
469,fitness,0.92587876
470,recreation,0.9225259
471,action,0.9080154
472,people,0.9032449
473,action energy,0.9004123
474,competition,0.99968153
475,race,0.9988866
476,championship,0.9911163
477,athlete,0.98599595
478,bike,0.98351943
479,track,0.9795006
480,wheel,0.9758607
481,hurry,0.9748001
482,cyclist,0.9672097
483,adult,0.9654726
484,motion,0.9635791
485,racer,0.9622458
486,fast,0.9533204
487,action,0.9496566
488,sport,0.9450133
489,people,0.93883944
490,man,0.937424
491,action energy,0.92075557
492,biker,0.9103863
493,competition,0.99693763
494,race,0.9860586
495,adult,0.9513389
496,championship,0.93747604
497,action,0.9104935
498,competition,0.9995226
